headword,meaning
offer,প্রস্তাব করা, দান করা, নিবেদন
office,কার্যালয়, অফিস, পদ
officer,কর্মকর্তা, অফিসার
official,সরকারী, আধিকারিক
often,প্রায়ই, ঘন ঘন
oil,তেল, তেল দেওয়া
old,পুরানো, বৃদ্ধ
omit,বাদ দেওয়া, বর্জন করা
on,ওপর, চালু, সক্রিয়
once,একবার, অতীতে
one,এক, একটি, একক
only,কেবলমাত্র, একমাত্র
open,উন্মুক্ত, খোলা, শুরু করা
opinion,মতামত, ধারণা
opponent,প্রতিপক্ষ, বিরোধী
opportunity,সুযোগ, সুবিধা
oppose,বিরোধিতা করা, বাধা দেওয়া
opposite,বিপরীত, উল্টো
oppress,অত্যাচার করা, নিপীড়ন করা
or,অথবা, কিংবা
orange,কমলালেবু, কমলা রঙ
order,আদেশ, ক্রম, শৃঙ্খলা, অর্ডার দেওয়া
ordinary,সাধারণ, মামুলি
organ,অঙ্গ, বাদ্যযন্ত্র বিশেষ
origin,উত্স, মূল
ornament,অলঙ্কার, ভূষণ, সজ্জিত করা
other,অন্যান্য, অন্যটি
ought,উচিত, বাধ্যবাধকতা
our,আমাদের, আমাদের নিজস্ব
out,বাইরে, প্রকাশিত
outdoor,বহিরাঙ্গন, ঘরের বাইরে
outer,বাহ্যিক, বাইরের অংশ
outline,রূপরেখা, খসড়া আঁকা
output,আউটপুট, উৎপাদন, ফলাফল
outside,বাইরে, বাহ্যিক রূপ
over,ওপরে, সমাপ্ত, পার হয়ে
overcome,পরাস্ত করা, কাটিয়ে ওঠা
owe,ঋণী থাকা, বাধ্য থাকা
own,নিজের, মালিক হওয়া, স্বীকার করা
owner,মালিক, স্বত্বাধিকারী
ox,ষাঁড়, বলদ
pace,গতি, পদক্ষেপ, ধীর গতিতে চলা
pack,প্যাক, বোঝা, বস্তাবন্দী করা, দল
package,প্যাকেজ, মোড়ক
pad,প্যাড, গদি, আস্তে চলা
page,পৃষ্ঠা, পৃষ্ঠা নম্বর দেওয়া, ভৃত্য
pain,ব্যথা, কষ্ট, বেদনা দেওয়া
paint,রং, ছবি আঁকা, চিত্রিত করা
pair,জোড়া, জোড় বাঁধা
palace,প্রাসাদ, রাজবাড়ি
pale,ফ্যাকাশে, ম্লান, সীমানা
palm,তালগাছ, হাতের তালু, চাতুরি করা
pan,কড়াই, তাওয়া
panel,প্যানেল, তালিকা, দল
pant,হাঁপানো, ঘন ঘন শ্বাস নেওয়া
paper,কাগজ, সংবাদপত্র, দলিলপত্র
parade,কুচকাওয়াজ, প্রদর্শন করা
paragraph,অনুচ্ছেদ, প্যারাগ্রাফ
pardon,ক্ষমা করা, মার্জনা
parent,পিতা-মাতা, অভিভাবক
park,পার্ক, উদ্যান, গাড়ি পার্ক করা
part,অংশ, ভূমিকা, বিভক্ত করা
particular,বিশেষ, সুনির্দিষ্ট
partner,অংশীদার, সঙ্গী
party,দল, অনুষ্ঠান, পক্ষ
pass,অতিক্রম করা, পাস করা, প্রবেশপত্র
passage,অ্যাভিনিউ, যাতায়াত পথ, উদ্ধৃতি
passenger,যাত্রী, আরোহী
passion,আবেগ, প্রচণ্ড ইচ্ছা
past,অতীত, পার হয়ে যাওয়া
paste,লেই, পেস্ট করা, আঠা দিয়ে লাগানো
path,পথ, রাস্তা, চলার পথ
patience,ধৈর্য, সহনশীলতা
patient,ধৈর্যশীল, রোগী
pattern,প্যাটার্ন, আদর্শ রূপ, নকশা
pause,বিরতি, থামা, সাময়িক বিরতি নেওয়া
paw,থাবা, থাবা দিয়ে আঘাত করা
pay,পরিশোধ করা, বেতন, মূল্য দেওয়া
peace,শান্তি, নীরবতা
peak,চূড়া, শিখর, সর্বোচ্চ সীমায় পৌঁছানো
pear,নাশপাতি, নাশপাতি গাছ
peculiar,অদ্ভুত, বিশেষ
pen,কলম, খাঁচা, লেখা
pencil,পেন্সিল, চিত্রাঙ্কন করা
penny,পয়সা, ক্ষুদ্র মুদ্রা
people,জনগণ, মানুষ, লোকালয়
pepper,গোলমরিচ, মরিচ ছিটানো
perfect,নিখুঁত, সম্পূর্ণ করা
perform,সম্পাদন করা, অভিনয় করা
perfume,সুগন্ধি, সুবাসিত করা
perhaps,সম্ভবত, হতে পারে
period,সময়কাল, পিরিয়ড, যতিচিহ্ন
permanent,স্থায়ী, চিরস্থায়ী
permission,অনুমতি, অনুমোদন
permit,অনুমতি দেওয়া, প্রবেশপত্র
person,ব্যক্তি, লোক
persuade,প্ররোচিত করা, রাজি করানো
pet,পোষা প্রাণী, আদর করা
phase,পর্যায়, ধাপ
philosophy,দর্শন, দর্শনশাস্ত্র
phone,ফোন করা, টেলিফোন
photo,ছবি, আলোকচিত্র
phrase,বাক্যাংশ, শব্দগুচ্ছ প্রকাশ করা
physical,শারীরিক, প্রাকৃতিক, পার্থিব
piano,পিয়ানো, বাদ্যযন্ত্র
pick,পছন্দ করা, কুড়ানো, বাছাই
picnic,বনভোজন, চড়ুইভাতি
picture,ছবি, চিত্রিত করা, কল্পনা করা
piece,টুকরো, খণ্ড, জোড়া দেওয়া
pig,শূকর, নোংরা লোক
pigeon,পায়রা, কবুতর
pile,স্তূপ, গাদা করা, গোঁজ গোঁজা
pill,বড়ি, পিল
pillow,বালিশ, বালিশ দেওয়া
pilot,বিমানচালক, পাইলট, পথ দেখানো
pin,পিন, আলপিন, পিন দিয়ে আটকানো
pine,পাইন গাছ, অনুশোচনা করা, ক্ষয় হওয়া
pink,গোলাপী রঙ, চমৎকার অবস্থা
pipe,পাইপ, নল, বাঁশি বাজানো
pity,করুণা, দয়া করা, পরিতাপের বিষয়
place,স্থান, জায়গা দেওয়া, স্থাপন করা
plain,স্পষ্ট, সমতল ভূমি, সাদাসিধে
plan,পরিকল্পনা, নকশা করা
plane,বিমান, সমতল, রঁদা করা
planet,গ্রহ, জ্যোতিষ্ক
plant,উদ্ভিদ, চারা রোপণ করা, কারখানা
plate,থালা, প্লেট, ধাতব পাত
play,খেলা করা, নাটক, বাজানো
pleasant,মনোরম, মনোরম পরিবেশ
please,দয়া করে, সন্তুষ্ট করা
pleasure,আনন্দ, সন্তুষ্টি
plenty,প্রচুর, যথেষ্ট
plot,নকশা, চক্রান্ত, জমির টুকরো, চক্রান্ত করা
plow,লাঙল, চাষ করা
plug,প্লাগ, ছিপি দিয়ে আটকানো, বিজ্ঞাপন দেওয়া
pocket,পকেট, পকেটে ভরা
poem,কবিতা, পদ্য
poet,কবি, গীতিকার
poetry,কবিতা, কাব্যগ্রন্থ
point,বিন্দু, নির্দেশ করা, তীব্র প্রান্ত, অভিমত
poison,বিষ, বিষাক্ত করা, বিষ প্রয়োগ করা
pole,মেরু, খুঁটি, দণ্ড
police,পুলিশ, আরক্ষী বাহিনী, শান্ত রাখা
polish,পালিশ করা, চকচকে করা, মার্জিত রূপ
polite,ভদ্র, নম্র
political,রাজনৈতিক, রাষ্ট্র সংক্রান্ত
politics,রাজনীতি, রাষ্ট্রনীতি
pond,পুকুর, ডোবা
pool,পুকুর, জলাশয়, কুন্ড, বাজি ধরা
poor,দরিদ্র, বেচারা, মন্দ
popular,জনপ্রিয়, সর্বজনীন
population,জনসংখ্যা, অধিবাসী
port,বন্দর, প্রবেশদ্বার
portion,অংশ, ভাগ করা
position,অবস্থান, পদমর্যাদা, স্থাপন করা
positive,ইতিবাচক, নিশ্চিত
possess,অধিকার করা, স্বত্বাধিকারী হওয়া
possible,সম্ভব, সাধ্য
post,ডাক, খুঁটি, পদ, পোস্ট করা, পাঠানো
pot,পাত্র, হাঁড়ি, টবে রোপণ করা
potato,আলু, গোল আলু
pound,পাউন্ড, আঘাত করা, পাউন্ড ওজন
pour,ঢালা, বর্ষণ হওয়া
poverty,দারিদ্র্য, অভাব অনটন
powder,গুঁড়ো, পাউডার মাখানো
power,ক্ষমতা, শক্তি, বিদ্যুৎ, বল দেওয়া
practical,ব্যবহারিক, বাস্তবসম্মত
practice,অনুশীলন, প্রথা, প্র্যাকটিস করা
praise,প্রশংসা করা, স্তুতি
pray,প্রার্থনা করা, উপাসনা করা
preach,ধর্মোপদেশ দেওয়া, প্রচার করা
precious,মূল্যবান, দামী
prefer,অধিকতর পছন্দ করা, অগ্রাধিকার দেওয়া
prepare,প্রস্তুত করা, তৈরি করা
presence,উপস্থিতি, বিদ্যমানতা
present,বর্তমান, উপহার, উপস্থাপন করা
preserve,সংরক্ষণ করা, রক্ষা করা
president,রাষ্ট্রপতি, সভাপতি
press,চাপ দেওয়া, সংবাদপত্র, ভিড় করা
pretty,সুন্দর, বেশ, মনোরম
prevent,প্রতিরোধ করা, বাধা দেওয়া
prey,শিকার, শিকার করা, লুটের মাল
price,মূল্য, দাম, দর নির্ধারণ করা
pride,গর্ব, অহংকার, গর্ব প্রকাশ করা
priest,পুরোহিত, ধর্মযাজক
primal,আদিম, মৌলিক
primary,প্রাথমিক, প্রধান
prime,প্রধান, সর্বোত্তম অংশ, প্রস্তুত করা
prince,রাজপুত্র, যুবরাজ
princess,রাজকুমারী, যুবরাজ্ঞী
principal,অধ্যক্ষ, প্রধান, মূলধন
principle,নীতি, আদর্শ
print,মুদ্রণ করা, ছাপানো, ছাপ
prison,কারাগার, জেলখানা
private,ব্যক্তিগত, গোপন, সাধারণ সৈনিক
privilege,বিশেষ সুবিধা, অগ্রাধিকার
prize,পুরস্কার, মূল্যায়ন করা, লুণ্ঠিত সামগ্রী
probable,সম্ভাব্য, বিশ্বাসযোগ্য
problem,সমস্যা, জটিলতা
process,প্রক্রিয়া, প্রক্রিয়াজাত করা, অগ্রগতি
produce,উত্পাদন করা, উপস্থাপন করা, ফসল
profession,পেশা, বৃত্তি, স্বীকৃতি
professional,পেশাদার, বৃত্তি সংক্রান্ত
professor,অধ্যাপক, শিক্ষক
profit,লাভ, উপার্জন, লাভবান হওয়া
program,প্রোগ্রাম, পরিকল্পনা, সূচি নির্ধারণ করা
progress,অগ্রগতি, উন্নতি করা
project,প্রকল্প, পরিকল্পনা করা, প্রক্ষেপণ করা
promise,প্রতিশ্রুতি দেওয়া, অঙ্গীকার
prompt,তত্পর, উদ্বুদ্ধ করা, ইশারা
pronounce,উচ্চারণ করা, ঘোষণা করা
proof,প্রমাণ, প্রতিরোধী
proper,সঠিক, উপযুক্ত
property,সম্পত্তি, বৈশিষ্ট্য
prophet,নবী, পয়গম্বর
propos,প্রস্তাবিত, যথোপযুক্ত
proposal,প্রস্তাব, বিয়ের প্রস্তাব
propose,প্রস্তাব করা, বিয়ের প্রস্তাব দেওয়া
prose,গদ্য, নীরস রচনা
prospect,প্রত্যাশা, সম্ভাবনা, অনুসন্ধান করা
protect,রক্ষা করা, নিরাপদ রাখা
protest,প্রতিবাদ করা, আপত্তি জানানো
proud,গর্বিত, অহংকারী
prove,প্রমাণ করা, যাচাই করা
proverb,প্রবাদ, প্রবাদ বাক্য
provide,সরবরাহ করা, জোগান দেওয়া
province,প্রদেশ, কার্যক্ষেত্র
provoke,উত্তেজিত করা, উস্কে দেওয়া
public,জনসাধারণ, সরকারী, প্রকাশ্য
publish,প্রকাশ করা, প্রচার করা
pull,টানা, আকর্ষণ করা, টান
pulp,মণ্ড, মজ্জা, মণ্ড তৈরি করা
pulse,নাড়ি, স্পন্দন, ডাল
pump,পাম্প, পানি তোলার যন্ত্র, পাম্প করা
punish,শাস্তি দেওয়া, দণ্ড দেওয়া
pupil,ছাত্র, চোখের তারা
pure,বিশুদ্ধ, খাঁটি
purple,বেগুনী রঙ, রাজকীয়
purpose,উদ্দেশ্য, অভিপ্রায়, সংকল্প করা
purse,পার্স, টাকার থলি, কুঁচকানো
push,ধাক্কা দেওয়া, চাপ, ধাক্কা
put,রাখা, স্থাপন করা, প্রয়োগ করা
puzzle,ধাঁধা, হতবুদ্ধি করা
quality,মান, গুণমান, বৈশিষ্ট্য
quantity,পরিমাণ, সংখ্যা
quarrel,ঝগড়া করা, বিবাদ
quarter,কোয়ার্টার, সিকি ভাগ, আশ্রয় দেওয়া
queen,রানী, বেগম, দাবার রানী
queer,অদ্ভুত, সন্দেহজনক, গুলিয়ে দেওয়া
quench,তৃষ্ণা নিবারণ করা, নেভানো
question,প্রশ্ন করা, সন্দেহ করা, সমস্যা
quick,দ্রুত, চটপটে, প্রখর
quiet,শান্ত, নীরবতা, শান্ত করা
quill,পালকের কলম, কাঁটা
quilt,লেপ, কাঁথা, লেপ তৈরি করা
quit,ত্যাগ করা, ছেড়ে দেওয়া, মুক্ত
quite,সম্পূর্ণরূপে, বেশ, অত্যন্ত
quiver,কাঁপা, তূণীর, স্পন্দন
quiz,কুইজ, ধাঁধা, পরীক্ষা করা
quote,উদ্ধৃতি, মূল্য জানানো, উদ্ধৃত করা
race,জাতি, দৌড় প্রতিযোগিতা, দ্রুত চলা
radiant,দীপ্তিময়, উজ্জ্বল
radio,বেতার, রেডিও
rage,ক্রোধ, তীব্র রাগ, প্রচণ্ড বেগে চলা
rail,রেল, রেললাইন, কটূক্তি করা
rain,বৃষ্টি, বর্ষণ হওয়া
raise,উত্তোলন করা, বৃদ্ধি করা, লালন-পালন করা
range,পরিসীমা, শ্রেণী, সারিবদ্ধ করা
rank,পদমর্যাদা, সারিবদ্ধ করা, উগ্র
rapid,দ্রুত, দ্রুতগামী
rare,বিরল, অসাধারণ, আধসিদ্ধ
rate,হার, গতি, মূল্যায়ন করা, বকা দেওয়া
rather,বরং, কিছুটা
raw,কাঁচা, অনভিজ্ঞ, কাঁচামাল
ray,রশ্মি, কিরণ, আভাস
reach,পৌঁছানো, নাগাল পাওয়া, বিস্তার
read,পড়া, পাঠ করা, অনুধাবন করা
ready,প্রস্তুত, তৎপর, সজ্জা
real,বাস্তব, খাঁটি, প্রকৃত
realize,উপলব্ধি করা, সত্যে পরিণত করা
reap,ফসল কাটা, লাভ করা
reason,কারণ, যুক্তি প্রদর্শন করা, বুদ্ধি
rebel,বিদ্রোহী, বিদ্রোহ করা
receive,গ্রহণ করা, স্বাগত জানানো
recent,সাম্প্রতিক, আধুনিক
reckon,গণনা করা, মনে করা
recognize,স্বীকৃতি দেওয়া, চিনতে পারা
recommend,সুপারিশ করা, ভালো বলা
record,নথিভুক্ত করা, রেকর্ড, বিবরণ
recover,পুনরুদ্ধার করা, আরোগ্য লাভ করা
red,লাল, রক্তবর্ণ
reduce,হ্রাস করা, কমানো
refer,উল্লেখ করা, পাঠানো, নির্দেশ করা
refine,পরিশোধন করা, মার্জিত করা
reflect,প্রতিফলিত করা, চিন্তা করা
reform,সংস্কার করা, সংশোধন
refuge,আশ্রয়, আশ্রয়স্থল
refuse,প্রত্যাখ্যান করা, আবর্জনা
regard,শ্রদ্ধা, বিবেচনা করা, শুভেচ্ছা
region,অঞ্চল, এলাকা
regular,নিয়মিত, স্বাভাবিক
reign,শাসনকাল, রাজত্ব করা
reject,প্রত্যাখ্যান করা, বাতিল করা
rejoice,আনন্দ করা, আনন্দিত হওয়া
relate,সম্পর্কিত করা, বর্ণনা করা
relation,সম্পর্ক, আত্মীয়
relative,আত্মীয়, আপেক্ষিক
relax,শিথিল করা, আরাম করা
release,মুক্তি দেওয়া, প্রকাশ করা, খালাস
relief,ত্রাণ, সান্ত্বনা, স্বস্তি, উৎকীর্ণ চিত্র
religion,ধর্ম, বিশ্বাস
rely,নির্ভর করা, ভরসা রাখা
remain,অবশিষ্ট থাকা, থাকা
remark,মন্তব্য করা, লক্ষ্য করা
remedy,প্রতিকার, নিরাময় করা
remember,স্মরণ করা, মনে রাখা
remind,মনে করিয়ে দেওয়া, মনে করিয়ে দেওয়া
remove,অপসারণ করা, সরিয়ে ফেলা
render,প্রদান করা, অনুবাদ করা, উপস্থাপন করা
renew,নবায়ন করা, নতুন করা
rent,ভাড়া, ছিন্ন অংশ, ভাড়া দেওয়া
repair,মেরামত করা, সংশোধন করা
repeat,পুনরাবৃত্তি করা, আবার বলা
repent,অনুশোচনা করা, অনুতপ্ত হওয়া
replace,প্রতিস্থাপন করা, বদলে দেওয়া
reply,উত্তর দেওয়া, জবাব
report,প্রতিবেদন, রিপোর্ট করা, শব্দ
represent,প্রতিনিধিত্ব করা, চিত্রিত করা
republic,প্রজাতন্ত্র, গণপ্রজাতন্ত্রী
request,অনুরোধ করা, অনুনয়
require,প্রয়োজন হওয়া, দাবি করা
rescue,উদ্ধার করা, মুক্ত করা
research,গবেষণা, অনুসন্ধান করা
resemble,সদৃশ হওয়া, একই রকম হওয়া
reserve,সংরক্ষণ করা, বুক করা, সংরক্ষিত এলাকা
reside,বাস করা, অবস্থান করা
resign,পদত্যাগ করা, সঁপে দেওয়া
resist,প্রতিরোধ করা, বাধা দেওয়া
resolve,সমাধান করা, সংকল্প করা
resort,আশ্রয়স্থল, অবলম্বন করা, পর্যটন কেন্দ্র
respect,সম্মান করা, শ্রদ্ধা, ভক্তি
respond,সাড়া দেওয়া, উত্তর দেওয়া
rest,বিশ্রাম, অবশিষ্ট অংশ, শায়িত থাকা
restore,পুনরুদ্ধার করা, ফিরিয়ে আনা
result,ফলাফল, ফলস্বরূপ ঘটা
retain,ধরে রাখা, বজায় রাখা
retire,অবসর নেওয়া, ঘুমাতে যাওয়া
retreat,পশ্চাদপসরণ, নির্জন স্থান, পিছু হটা
return,ফিরে আসা, ফেরত দেওয়া, লাভ
reveal,প্রকাশ করা, উন্মোচন করা
revenge,প্রতিশোধ, প্রতিশোধ নেওয়া
reverence,শ্রদ্ধা, ভক্তি করা
review,পর্যালোচনা করা, পুনর্বিবেচনা, সমালোচনা
revive,পুনরুজ্জীবিত করা, নতুন প্রাণ দেওয়া
reward,পুরস্কার, পুরস্কৃত করা
rhythm,ছন্দ, তাল
rib,পাঁজর, তীরের হাড়, ঠাট্টা করা
rice,ধান, চাল, ভাত
rich,ধনী, সমৃদ্ধ, মূল্যবান
rid,মুক্ত করা, রেহাই দেওয়া
riddle,ধাঁধা, চালনি, ঝাঁঝরা করা
ride,আরোহণ করা, চড়া, আরোহী ভ্রমণ
ridge,শৈলশিরা, উঁচু রেখা
ridiculous,হাস্যকর, অদ্ভুত
rifle,রাইফেল, লুণ্ঠন করা
right,সঠিক, ডান, অধিকার, সরাসরি
rigid,অনমনীয়, কঠোর
ring,আংটি, বাজানো, বলয়, চক্র
ripe,পাকা, পরিপক্ক
rise,উত্থান, ওঠা, উদিত হওয়া
risk,ঝুঁকি, বিপদ, ঝুঁকিপূর্ণ কাজ করা
rival,প্রতিদ্বন্দ্বী, প্রতিদ্বন্দ্বিতা করা
river,নদী, প্রবাহ
road,রাস্তা, পথ
roar,গর্জন করা, অট্টহাসি হাসা
roast,ভাজা, রোস্ট করা, উপহাস করা
rob,ডাকাতি করা, লুণ্ঠন করা
robe,পোশাক, রাজকীয় আলখাল্লা
rock,পাথর, শিলা, দোলানো
rod,দণ্ড, লাঠি, ছড়ি
rogue,দুর্বৃত্ত, বাউন্ডুলে
roll,রোল, গড়ানো, গুটানো, তালিকা
roof,ছাদ, ছাউনি
room,ঘর, কক্ষ, খালি জায়গা
root,মূল, শিকড়, প্রোথিত করা
rope,দড়ি, রশি, দড়ি দিয়ে বাঁধা
rose,গোলাপ ফুল, গোলাপী রঙ
rough,অমসৃণ, রুক্ষ, খসড়া
round,গোল, বৃত্তাকার, ঘুরপাক খাওয়া
route,পথ, রুট
row,সারি, নৌকা চালানো, গোলমাল
royal,রাজকীয়, রাজকীয় ব্যক্তি
rub,ঘষা, মর্দন করা
rude,অসভ্য, রুক্ষ, অভদ্র
rug,কম্বল, মাদুর
ruin,ধ্বংস করা, সর্বনাশ করা, ধ্বংসাবশেষ
rule,নিয়ম, শাসন করা, রেখা টানা
rumor,গুজব, রটনা, রটানো
run,দৌড়ানো, চালানো, চালনা
rural,গ্রামীণ, গ্রাম্য
rush,তাড়াহুড়ো করা, তীব্র ধারা, খড়
rust,মরিচা, মরিচা পড়া, ক্ষয় হওয়া
sacred,পবিত্র, পূত
sad,দুঃখিত, বিষণ্ণ
safe,নিরাপদ, সিন্দুক
sag,ঝুলে পড়া, ম্লান হওয়া
sage,বিজ্ঞ ব্যক্তি, ঋষি, তেজপাতা
sail,পাল খাটানো, নৌভ্রমণ করা
saint,সাধু, পীর, পবিত্র ব্যক্তি
sake,নিমিত্ত, উদ্দেশ্য
salad,সালাদ, কাঁচা সবজির মিশ্রণ
salary,বেতন, পারিশ্রমিক
sale,বিক্রয়, সস্তা দরে বিক্রি
saliva,লালা, থুতু
salt,লবণ, নুন দেওয়া
salute,অভিবাদন জানানো, কুর্নিশ করা
same,একই, অভিন্ন
sample,নমুনা, উদাহরণস্বরূপ
sand,বালু, বালি, ঘষে পরিষ্কার করা
sane,সুস্থমস্তিষ্ক, বিচারবুদ্ধিসম্পন্ন
sap,রস, মজ্জা, দুর্বল করা
sarcasm,বিদ্রূপ, কটাক্ষ
sash,কোমরবন্ধ, ফিতা
satire,ব্যঙ্গরচনা, ব্যঙ্গ
satisfy,সন্তুষ্ট করা, মেটানো
savage,বন্য, বর্বর, হিংস্র পশু
save,রক্ষা করা, সঞ্চয় করা, ব্যতীত
savory,সুস্বাদু, সুগন্ধি
saw,করাত, প্রবাদ, করাত দিয়ে কাটা
say,বলা, বক্তব্য, মতামত প্রকাশ করা
scale,স্কেল, আঁশ, পরিমাপ করা, আরোহণ করা
scandal,কেলেঙ্কারি, অপবাদ
scar,দাগ, ক্ষতচিহ্ন
scarce,দুর্লভ, বিরল
scare,ভীত করা, আতঙ্কিত করা, আতঙ্ক
scarf,স্কার্ফ, গলার ওড়না
scarlet,টকটকে লাল রঙ, উজ্জ্বল লাল
scatter,ছিটিয়ে দেওয়া, ছড়িয়ে পড়া
scene,দৃশ্য, রঙ্গভূমি, পটভূমি
scent,সুগন্ধ, গন্ধ শোঁকা
schedule,তফসিল, সময়সূচী, তালিকাভুক্ত করা
scheme,পরিকল্পনা, চক্রান্ত, স্কিম
scholar,পণ্ডিত, ছাত্রবৃত্তি প্রাপ্ত ব্যক্তি
school,বিদ্যালয়, শিক্ষা দেওয়া, ঝাঁক
science,বিজ্ঞান, বিশেষ জ্ঞান
scientific,বৈজ্ঞানিক, বিজ্ঞানসম্মত
scold,তিরস্কার করা, বকাঝকা করা
scoop,হাতা, চামচ, কুড়িয়ে নেওয়া
scope,সুযোগ, পরিধি, ক্ষেত্র
scorch,ঝলসানো, ম্লান করা
score,স্কোর, রান, নম্বর দেওয়া, কুড়ি
scorn,ঘৃণা করা, অবজ্ঞা
scout,স্কাউট, চর, সন্ধান করা
scrape,ঘষা লাগা, আঁচড়ানো, কোনোমতে চলা
scratch,আঁচড়ানো, চুলকানো, আঁচড়
scream,চিৎকার করা, আর্তনাদ
screen,পর্দা, আড়াল করা, পরীক্ষা করা
screw,স্ক্রু, স্ক্রু দিয়ে আটকানো, পাকানো
scribe,লেখক, লিপিকার
script,লিপি, পাণ্ডুলিপি, হরফ
scroll,স্ক্রল, গুটানো কাগজ, স্ক্রল করা
scrub,ঘষে পরিষ্কার করা, ছোট জঙ্গল
sculptor,ভাস্কর, খোদাইকারক
sea,সমুদ্র, সাগর
seal,সিলমোহর, সিল করা, সিল মাছ
search,অনুসন্ধান করা, খোঁজা
season,ঋতু, মসলা দেওয়া, উপযোগী করা
seat,আসন, বসানো, বসার জায়গা
second,দ্বিতীয়, সেকেন্ড, সমর্থন করা
secret,গোপন, রহস্য
section,বিভাগ, খণ্ড, টুকরো করা
secure,নিরাপদ, সুরক্ষিত করা
sediment,পলল, তলানি
see,দেখা, বুঝতে পারা, বিবেচনা করা
seed,বীজ, অঙ্কুর, বীজ বপন করা
seek,অনুসন্ধান করা, অন্বেষণ করা
seem,মনে হওয়া, প্রতীয়মান হওয়া
seize,আঁকড়ে ধরা, বাজেয়াপ্ত করা
seldom,কদাচিৎ, খুব কমই
select,বাছাই করা, নির্বাচিত, চমৎকার
self,স্বয়ং, নিজে, আপন
sell,বিক্রি করা, বিপণন করা
send,পাঠানো, প্রেরণ করা
sense,অনভূতি, বুদ্ধি, অর্থ, অনুভব করা
sentence,বাক্য, শাস্তি, শাস্তি দেওয়া
sentinel,প্রহরী, সান্ত্রী
separate,পৃথক করা, আলাদা, বিচ্ছিন্ন করা
serene,শান্ত, নির্মল
serious,গুরুতর, গম্ভীর
sermon,ধর্মোপদেশ, উপদেশমূলক বক্তৃতা
serpent,সাপ, সর্প
servant,চাকর, ভৃত্য
serve,সেবা করা, পরিবেশন করা, কাজ করা
service,সেবা, চাকরি, পূজা, মেরামত করা
session,অধিবেশন, সভা
set,স্থির করা, সেট, সূর্যাস্ত যাওয়া, স্থাপন করা
settle,মীমাংসা করা, বসতি স্থাপন করা, স্থির হওয়া
several,কয়েকটি, বিভিন্ন
severe,তীব্র, কঠোর, গুরুতর
sew,সেলাই করা, সেলাই দিয়ে যুক্ত করা
shade,ছায়া, শেড, হালকা রঙের ছটা
shadow,ছায়া, অন্ধকার, অনুসরণ করা
shake,ঝাঁকানো, কম্পন, হাত মেলানো
shall,হবে, নিশ্চয়তা প্রকাশ করা
shallow,অগভীর, হালকা জ্ঞানসম্পন্ন
shame,লজ্জা, লজ্জিত করা, কলঙ্ক
shape,আকৃতি, রূপ দেওয়া, গঠন করা
share,অংশ, ভাগ করা, শেয়ার
sharp,তীক্ষ্ণ, ধারালো, বুদ্ধিমান, তীব্র
shatter,চূর্ণবিচূর্ণ করা, ধ্বংস করা
shave,কামানো, ক্ষৌরকর্ম করা, কুচানো
she,সে, তিনি (স্ত্রীবাচক)
shear,কাটা, পশম কাটা
sheath,খাপ, খাপের মধ্যে রাখা
shed,চালাঘর, ঝরানো, ছিটানো, ফেলে দেওয়া
sheep,ভেড়া, মেষ
sheet,চাদর, পাতা, পাতলা তক্তা
shelf,শেলফ, তাক
shell,খোলস, শামুক, শেল নিক্ষেপ করা
shelter,আশ্রয়, নিরাপদ রাখা, আশ্রয় দেওয়া
shepherd,রাখাল, মেষপালক, পথ দেখানো
shield,ঢাল, রক্ষা করা, আড়াল করা
shift,স্থানান্তর করা, পরিবর্তন, পালাবদল
shine,কিরণ দেওয়া, দীপ্তি, আলো ছড়ানো
ship,জাহাজ, জাহাজে পাঠানো, প্রেরণ করা
shirt,জামা, শার্ট
shiver,কাঁপা, কম্পন, শিউরে ওঠা
shock,ধাক্কা, আতঙ্কিত করা, আঘাত
shoe,জুতো, জুতো পরানো
shoot,গুলি করা, অঙ্কুর, নতুন ডাল, দ্রুত চলা
shop,দোকান, কেনাকাটা করা
shore,উপকূল, তীর, তীরের দিকে টানা
short,ছোট, সংক্ষিপ্ত, খাটো
should,উচিত, প্রত্যাশা করা
shoulder,কাঁধ, কাঁধে নেওয়া, ধাক্কা দিয়ে চলা
shout,চিৎকার করা, চেঁচানো
shove,ধাক্কা দেওয়া, ঠেলে সরিয়ে দেওয়া
shovel,বেলচা, বেলচা দিয়ে তোলা
show,প্রদর্শন করা, দেখানো, প্রদর্শনী
shrewd,চতুর, বিচক্ষণ
shriek,আর্তনাদ করা, তীক্ষ্ণ চিৎকার
shrine,পূজাস্থল, পবিত্র স্থান
shrink,কুঁচকে যাওয়া, হ্রাস পাওয়া, সংকুচিত হওয়া
shrub,গুল্ম, ছোট ঝোপঝাড়
shrug,কাঁধ ঝাঁকানো, উদাসীনতা
shun,এড়িয়ে চলা, বর্জন করা
shut,বন্ধ করা, অবরুদ্ধ করা
shy,লাজুক, ভীতু, কুণ্ঠিত
sick,অসুস্থ,পীড়িত
side,পার্শ্ব, দিক, পক্ষ নেওয়া
siege,অবরোধ, ঘেরাও
sigh,দীর্ঘশ্বাস ফেলা, আফসোস করা
sight,দৃষ্টিশক্তি, দৃশ্য, লক্ষ্য করা
sign,চিহ্ন, স্বাক্ষর করা, ইঙ্গিত
signal,সংকেত, সংকেত দেওয়া, বিশিষ্ট
